epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1689.99,0.80075,1.1007,1.28507,0.93519,0.85569,0.94582,0.72718,0.83702,0.76679,1.19843,0.00066606,0.00066606,0.00066606
2,3364.47,0.76346,0.65552,1.24899,0.97434,0.94919,0.97973,0.79252,0.74673,0.55413,1.12932,0.00126676,0.00126676,0.00126676
3,5034.8,0.7093,0.58233,1.19604,0.97426,0.94309,0.98496,0.80834,0.72172,0.55717,1.12631,0.00180145,0.00180145,0.00180145
4,6715.71,0.65921,0.50955,1.15255,0.96924,0.9606,0.98431,0.84138,0.697,0.52805,1.09046,0.001703,0.001703,0.001703
5,8393.44,0.60859,0.44343,1.11376,0.95656,0.93984,0.9784,0.83495,0.65575,0.50906,1.08277,0.001604,0.001604,0.001604
6,10075.8,0.58447,0.41517,1.09703,0.98905,0.95122,0.99088,0.85301,0.62854,0.45577,1.0323,0.001505,0.001505,0.001505
7,11749.1,0.53572,0.38693,1.05571,0.98542,0.97154,0.993,0.86947,0.58727,0.39544,0.99024,0.001406,0.001406,0.001406
8,13416.5,0.51033,0.36076,1.04324,0.98573,0.98284,0.99245,0.86393,0.56762,0.39532,0.98688,0.001307,0.001307,0.001307
9,15085.7,0.4921,0.33992,1.02318,0.98456,0.98171,0.99386,0.89113,0.53297,0.36937,0.94692,0.001208,0.001208,0.001208
10,16753.4,0.47226,0.3221,1.01104,0.98581,0.98832,0.99453,0.90925,0.51815,0.35306,0.93277,0.001109,0.001109,0.001109
11,18421.2,0.45774,0.30902,1.00201,0.9922,0.98171,0.99476,0.90496,0.4973,0.35171,0.90892,0.00101,0.00101,0.00101
12,20082.2,0.44206,0.28983,0.98886,0.99898,0.97561,0.99425,0.91082,0.50812,0.33227,0.91605,0.000911,0.000911,0.000911
13,21745.2,0.42422,0.27764,0.98459,0.99793,0.97885,0.99464,0.91012,0.49491,0.35242,0.91607,0.000812,0.000812,0.000812
14,23408.1,0.41303,0.26797,0.9661,0.99592,0.99175,0.99484,0.9072,0.49437,0.3174,0.90876,0.000713,0.000713,0.000713
15,25064.5,0.40929,0.25986,0.9659,0.99324,0.98984,0.99484,0.91884,0.46745,0.30508,0.88978,0.000614,0.000614,0.000614
16,35849.3,0.39242,0.25118,0.96028,0.99351,0.99187,0.99492,0.92147,0.46357,0.29336,0.8912,0.000515,0.000515,0.000515
17,37508.3,0.37373,0.23666,0.95192,1,0.98978,0.9949,0.92964,0.46269,0.2866,0.88003,0.000416,0.000416,0.000416
18,39164.1,0.36194,0.22466,0.9443,0.9939,0.99306,0.99494,0.94143,0.42701,0.27457,0.85598,0.000317,0.000317,0.000317
19,40819.6,0.35176,0.21643,0.93591,0.99764,0.99187,0.99498,0.93607,0.41996,0.26868,0.85649,0.000218,0.000218,0.000218
20,42477.5,0.3423,0.2069,0.92736,0.99764,0.9939,0.995,0.94476,0.4102,0.26079,0.84699,0.000119,0.000119,0.000119
